Episode,Model,hidden_layers,layer_size,adv_layers,score,mean
6,Dueling-DQN,3,12,1,17.000000,13.285714
7,Dueling-DQN,3,12,1,10.000000,12.875000
8,Dueling-DQN,3,12,1,12.000000,12.777778
9,Dueling-DQN,3,12,1,11.000000,12.600000
10,Dueling-DQN,3,12,1,17.000000,13.000000
11,Dueling-DQN,3,12,1,14.000000,13.083333
12,Dueling-DQN,3,12,1,10.000000,12.846154
13,Dueling-DQN,3,12,1,10.000000,12.642857
14,Dueling-DQN,3,12,1,10.000000,12.466667
15,Dueling-DQN,3,12,1,12.000000,12.437500
16,Dueling-DQN,3,12,1,12.000000,12.411765
17,Dueling-DQN,3,12,1,10.000000,12.277778
18,Dueling-DQN,3,12,1,11.000000,12.210526
19,Dueling-DQN,3,12,1,10.000000,12.100000
0,Dueling-DQN,3,12,2,14.000000,14.000000
1,Dueling-DQN,3,12,2,17.000000,15.500000
2,Dueling-DQN,3,12,2,11.000000,14.000000
3,Dueling-DQN,3,12,2,9.000000,12.750000
4,Dueling-DQN,3,12,2,15.000000,13.200000
5,Dueling-DQN,3,12,2,9.000000,12.500000
6,Dueling-DQN,3,12,2,10.000000,12.142857
7,Dueling-DQN,3,12,2,13.000000,12.250000
8,Dueling-DQN,3,12,2,16.000000,12.666667
9,Dueling-DQN,3,12,2,14.000000,12.800000
10,Dueling-DQN,3,12,2,22.000000,13.636364
11,Dueling-DQN,3,12,2,13.000000,13.583333
12,Dueling-DQN,3,12,2,31.000000,14.923077
13,Dueling-DQN,3,12,2,13.000000,14.785714
14,Dueling-DQN,3,12,2,13.000000,14.666667
15,Dueling-DQN,3,12,2,19.000000,14.937500
16,Dueling-DQN,3,12,2,15.000000,14.941176
17,Dueling-DQN,3,12,2,11.000000,14.722222
18,Dueling-DQN,3,12,2,15.000000,14.736842
19,Dueling-DQN,3,12,2,10.000000,14.500000
0,Dueling-DQN,3,24,0,16.000000,16.000000
1,Dueling-DQN,3,24,0,12.000000,14.000000
2,Dueling-DQN,3,24,0,10.000000,12.666667
3,Dueling-DQN,3,24,0,10.000000,12.000000
4,Dueling-DQN,3,24,0,17.000000,13.000000
5,Dueling-DQN,3,24,0,17.000000,13.666667
6,Dueling-DQN,3,24,0,9.000000,13.000000
7,Dueling-DQN,3,24,0,34.000000,15.625000
8,Dueling-DQN,3,24,0,14.000000,15.444444
9,Dueling-DQN,3,24,0,24.000000,16.300000
10,Dueling-DQN,3,24,0,15.000000,16.181818
11,Dueling-DQN,3,24,0,29.000000,17.250000
12,Dueling-DQN,3,24,0,20.000000,17.461538
13,Dueling-DQN,3,24,0,16.000000,17.357143
14,Dueling-DQN,3,24,0,11.000000,16.933333
15,Dueling-DQN,3,24,0,12.000000,16.625000
16,Dueling-DQN,3,24,0,17.000000,16.647059
17,Dueling-DQN,3,24,0,16.000000,16.611111
18,Dueling-DQN,3,24,0,13.000000,16.421053
19,Dueling-DQN,3,24,0,12.000000,16.200000
0,Dueling-DQN,3,24,1,11.000000,11.000000
1,Dueling-DQN,3,24,1,12.000000,11.500000
2,Dueling-DQN,3,24,1,10.000000,11.000000
3,Dueling-DQN,3,24,1,8.000000,10.250000
4,Dueling-DQN,3,24,1,10.000000,10.200000
5,Dueling-DQN,3,24,1,19.000000,11.666667
6,Dueling-DQN,3,24,1,16.000000,12.285714
7,Dueling-DQN,3,24,1,19.000000,13.125000
8,Dueling-DQN,3,24,1,12.000000,13.000000
9,Dueling-DQN,3,24,1,16.000000,13.300000
10,Dueling-DQN,3,24,1,10.000000,13.000000
11,Dueling-DQN,3,24,1,10.000000,12.750000
12,Dueling-DQN,3,24,1,15.000000,12.923077
13,Dueling-DQN,3,24,1,17.000000,13.214286
